"Registering the account ...","Tworzenie konta ..."
"No products synchronized for this category. Please come back while online!","Brak produktów dla tej kategorii. Spróbuj ponownie po uzyskaniu dostępu do Internetu!"
"Shopping cart is empty. Please add some products before entering Checkout","Koszyk jest pusty. Dodaj produkty."
"Out of stock!","Produkt niedostępny!"
" is out of the stock!"," jest niedostępny!"
"Some of the ordered products are not available!","Niektóre z produktów są niedostępne!"
"Stock check in progress, please wait while available stock quantities are checked","Trwa sprawdzanie dostępności produktów, proszę czekać"
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Brak połączenia z Internetem. Możesz nadal złożyć zamówienie. Poinformujemy Cię jeśli któryś z produktów nie będzie dostępny."
"No such configuration for the product. Please do choose another combination of attributes.","Wybrane opcje są niedostępne. Wybierz inne opcje."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","Wybrana opcja jest niedostępna!"
"The product is out of stock and cannot be added to the cart!","Produkt jest niedostępny!"
"Product has been added to the cart!","Produkt został dodany do koszyka!"
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Błąd walidacji. Sprawdź czy wszystkie wymagane pola zostały wybrane. Proszę, skontaktuj się z nami na adres {email}"
"Product {productName} has been added to the compare!","Produkt {productName} został dodany do porównania!"
"Product {productName} has been removed from compare!","Produkt {productName} został usunięty z porównania!"
"Product {productName} has been added to wishlist!","Produkt {productName} został dodany do listy życzeń!"
"Product {productName} has been removed from wishlit!","Produkt {productName} został usunięty z listy życzeń!"
"Account data has successfully been updated","Twoje dane zostały zaktualizowane"
"Newsletter preferences have successfully been updated","Twoje ustawienia subskrypcji zostały zaktualizowane"
"Reset password feature does not work while offline!","Aby zresetowa hasło musisz posiadać połączenie z Internetem!"
"You are logged in!","Jesteś zalogowany!"
"Please fix the validation errors","Popraw błędy walidacji"
"Product price is unknown, product cannot be added to the cart!","Nie można dodać produktu do koszyka, nie można potwierdzić ceny produktu!"
"My Account","Moje konto"
"Type what you are looking for...","Znajdź..."
"Home Page","Strona główna"
"Checkout","Płatność"
"Subtotal incl. tax","Kwota częściowa brutto"
"Grand total","Łączna suma"
"Field is required","Pole jest wymagane"
"Field is required.","Pole jest wymagane."
"You're logged out","Jesteś wylogowany"
"Compare Products","Porównaj produkty"
"404 Page Not Found","404 Nie ma takiej strony"
"Error with response - bad content-type!","Błąd odpowiedzi - bad content-type!"
"Unhandled error, wrong response format!","Nieobsługiwany błąd, nieprawidłowy format odpowiedzi!"
"not authorized","nieautoryzowany"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Błąd odświeżania tokenów. Proszę wyczyścić pamięć podręczną przeglądarki."
"Proceed to checkout","Przejdź do kasy"
"OK","OK"
"Out of the stock!","Brak w magazynie!"
"In stock!","W magazynie!"
"Please configure product custom options and fix the validation errors","Skonfiguruj opcje produktu i popraw będy walidacji"
"Error refreshing user token. User is not authorized to access the resource","Błąd odświeżania tokenu użytkownika. Użytkownik nie dostępu do zasobu"
"Must be greater than 0","Musi być większa niż 0"
"Please select the field which you like to sort by","Wybierz opcję sortowania"
"No available product variants","Brak dostępnych wariantów produktu"
"email","email"
"password","hasło"
"Confirm your order","Potwierdź zamówienie"
"Please confirm order you placed when you was offline","Potwierdź zamówienie które złożyłeś będąc offline"
"Payment Information","Informacje o płatności"
"You are to pay for this order upon delivery.","Za zamówienie zapłacisz przy odbiorze."
"Allow notification about the order","Zezwalaj na notyfikacje o zamówieniu"
"Extension developers would like to thank you for placing an order!","Dziękujemy za złożenie zamówienia!"
"most you may purchase","most you may purchase"
"have as many","przynajmniej"
"Compare products","Porównaj produkty"
"Reviews","Oceny"
"Review","Ocena"
"Add review","Dodaj ocenę"
"Summary","Podsumowanie"
"login","login"
"to account","przejdź do konta"
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten produkt z koszyka?"
"You need to be logged in to see this page","Musisz być zalogowany, aby zobaczyć tę stronę"
"Quantity must be above 0","Ilość musi być większa od 0"
"Error: Error while adding products","Błąd dodawania produktu"
"Unexpected authorization error. Check your Network conection.","Niespodziewany błąd autoryzacji. Sprawdź połączenie z internetem."
"Columns","Kolumny"
"available","dostępny"
"unavailable","niedostępny"
"Latest","Najnowsze"
"Price: High to low","Cena: od najwyższej"
"Price: Low to high","Cena: od najniższej"
"Electrical","Elektryka"
"Lightning","Oświetlenie"
"Detergents","Chemia"
"Food","Żywność"
